,MPT
2015-06-19,1.0
2015-06-24,1.0
2015-06-29,1.0
2015-07-02,1.0
2015-07-08,0.9975
2015-07-13,1.044329031027571
2015-07-16,1.057855442981207
2015-07-21,1.027680725454415
2015-07-24,1.036469045037767
2015-07-29,1.0405397687893543
2015-08-03,1.027683431225398
2015-08-06,1.019149558033853
2015-08-11,1.0161585008385727
2015-08-14,1.0280897272809484
2015-08-19,1.0174609081948183
2015-08-24,0.9061642301120564
2015-08-27,0.9740262273386832
2015-09-01,0.9194265543653406
2015-09-04,0.9013229229944412
2015-09-10,0.923770228745076
2015-09-15,0.9420149114999952
2015-09-18,0.9328243603859719
2015-09-23,0.9615563786002059
2015-09-28,0.9287476217587474
2015-10-01,0.9607719347243885
2015-10-06,0.9555379175052168
2015-10-09,1.0039579409987511
2015-10-14,0.9861121528808303
2015-10-19,1.035721241107404
2015-10-22,1.0104063131056027
2015-10-27,1.0222259068518584
2015-10-30,1.0384978696761018
2015-11-04,1.0836401738320753
2015-11-09,1.0539978521039417
2015-11-12,1.0476897834022205
2015-11-17,1.0538553900760117
2015-11-20,1.0791936194150837
2015-11-25,1.0832572662191686
2015-12-01,1.0793287834062704
2015-12-04,1.07500192747461
2015-12-09,1.0377265976681889
2015-12-14,1.017251425694573
2015-12-17,1.035234706061838
2015-12-22,1.061864880229194
2015-12-28,1.080893931798539
2015-12-31,1.0870570513772924
2016-01-06,1.0579087782371277
2016-01-11,1.0275792008611624
2016-01-14,1.0046145151390418
2016-01-20,0.9253408331163325
2016-01-25,0.9417467955307701
2016-01-28,0.8846750731904988
2016-02-02,0.890442384499757
2016-02-05,0.8288961786788172
2016-02-10,0.8341328742440095
2016-02-16,0.8380825537257839
2016-02-19,0.8651199076871396
2016-02-24,0.8580359712658906
2016-02-29,0.8579059275548705
2016-03-03,0.9014876707128091
2016-03-08,0.8963639587791098
2016-03-11,0.9425597041585101
2016-03-16,0.9564711682407442
2016-03-21,0.983244539330091
2016-03-24,0.9614613363792611
2016-03-30,0.9719636239466432
2016-04-04,0.9882322540012423
2016-04-07,0.9664430624260004
2016-04-12,0.953200091585082
2016-04-15,0.9801085147366358
2016-04-20,0.998483039380021
2016-04-25,0.9776154233706267
2016-04-28,0.9667165586993556
2016-05-03,0.9497929354691235
2016-05-06,0.9416550138925326
2016-05-11,0.9471714297912062
2016-05-16,0.9572832505238178
2016-05-19,0.9509862705190507
2016-05-24,1.003086023362137
2016-05-27,1.0045377095749703
2016-06-02,1.0269762093312365
2016-06-07,1.035370485396047
2016-06-10,1.0097793743448047
2016-06-15,1.010689046268839
2016-06-20,1.0354886606157454
2016-06-23,1.0290712906296133
2016-06-28,0.9383848833587062
2016-07-01,0.9450910726510859
2016-07-07,0.9376138388901257
2016-07-12,0.9703028463081149
2016-07-15,0.9561339816930334
2016-07-20,0.9651947902253188
2016-07-25,0.9654544169637492
2016-07-28,0.9771378616032588
2016-08-02,0.9569293406679121
2016-08-05,0.995519237444789
2016-08-10,0.9760987782959433
2016-08-15,0.971120515937283
2016-08-18,0.967708200698329
2016-08-23,0.983192183458706
2016-08-26,0.9763684802436984
2016-08-31,0.958132830830026
2016-09-06,0.9632556983658603
2016-09-09,0.9484133547610301
2016-09-14,0.9675724435642613
2016-09-19,0.9969701120044157
2016-09-22,1.0505100099078428
2016-09-27,1.0385692753066413
2016-09-30,1.0611408121831505
2016-10-05,1.0427795509791573
2016-10-10,1.023891591615788
2016-10-13,1.0086629731321222
2016-10-18,1.017457413830904
2016-10-21,1.0103726224770069
2016-10-26,1.0113025730989251
2016-10-31,1.0168040581068654
2016-11-03,0.9812359587221745
2016-11-08,1.0065719019523724
2016-11-11,1.0115891998590605
2016-11-16,1.0324589389710526
2016-11-21,1.0457198635858798
2016-11-25,1.034704236539518
2016-11-30,1.038634774010221
2016-12-05,1.0204021293919736
2016-12-08,1.0356389454597477
2016-12-13,1.0575533005883266
2016-12-16,1.0496850157852216
2016-12-21,1.0475977967287406
2016-12-27,0.9216477914762853
2016-12-30,0.9152042488964244
2017-01-05,0.9598212031933621
2017-01-10,0.9409325368769855
2017-01-13,0.9632398383165005
2017-01-19,0.9705816063333981
2017-01-24,0.9904017736032359
2017-01-27,0.9939585529821499
2017-02-01,0.998811881385708
2017-02-06,1.027028487507069
2017-02-09,1.0413267876854486
2017-02-14,1.051570912564659
2017-02-17,1.0844782926421033
2017-02-23,1.11068889055035
2017-02-28,1.0872259786340424
2017-03-03,1.077278506745486
2017-03-08,1.0772705328461678
2017-03-13,1.0881540676123145
2017-03-16,1.1041495958168286
2017-03-21,1.0675482219645311
2017-03-24,1.0891786027848855
2017-03-29,1.1386089555808194
2017-04-03,1.1353374602658812
2017-04-06,1.1159294529185502
2017-04-11,1.1180094592656704
2017-04-17,1.1312426225959635
2017-04-20,1.1476318110805936
2017-04-25,1.1498998298695178
2017-04-28,1.1563107762203593
2017-05-03,1.1451962482993079
2017-05-08,1.1579177816979738
2017-05-11,1.1625338620132801
2017-05-16,1.1768453876794809
2017-05-19,1.1314765668796383
2017-05-24,1.1552211054923431
2017-05-30,1.173965937541873
2017-06-02,1.201748968190769
2017-06-07,1.2068745118156488
2017-06-12,1.1648062964358112
2017-06-15,1.1543226709824237
2017-06-20,1.181070753293565
2017-06-23,1.3050043441177095
2017-06-28,1.270831533285736
2017-07-03,1.2443520914758701
2017-07-07,1.2674443973070786
2017-07-12,1.2974871439898674
2017-07-17,1.2934459602448922
2017-07-20,1.2985737324932147
2017-07-25,1.3116889127682507
2017-07-28,1.2932369773480699
2017-08-02,1.2911748084244554
2017-08-07,1.2981294205084524
2017-08-10,1.2596996828443787
2017-08-15,1.3126568894747332
2017-08-18,1.3183483746635347
2017-08-23,1.365122842075093
2017-08-28,1.3859390941136864
2017-08-31,1.410987426050429
2017-09-06,1.3957619834886386
2017-09-11,1.4125502328010293
2017-09-14,1.4141534152585093
2017-09-19,1.4063914143764227
2017-09-22,1.3953651649132703
2017-09-27,1.4427702975481118
2017-10-02,1.4724116566985248
2017-10-05,1.5161868440885704
2017-10-10,1.5532656029717686
2017-10-13,1.5892598529964468
2017-10-18,1.583922338439971
2017-10-23,1.6027792628082624
2017-10-26,1.5787116858648536
2017-10-31,1.5859480480823198
