,UCRP
2015-06-19,0.9975
2015-06-24,0.9953534894374338
2015-06-29,0.9661038108881181
2015-07-02,0.9763282614013762
2015-07-08,0.9560767746742873
2015-07-13,0.9850641234901504
2015-07-16,1.0065014358157118
2015-07-21,1.0013387289144178
2015-07-24,0.997346469748274
2015-07-29,1.0035480269137025
2015-08-03,1.0011005629217729
2015-08-06,0.9979524101412847
2015-08-11,1.0085847338046978
2015-08-14,1.0135238174571446
2015-08-19,1.0047304280536733
2015-08-24,0.9079622863398746
2015-08-27,0.9667973341411437
2015-09-01,0.9299416275959254
2015-09-04,0.9358822026292467
2015-09-10,0.9583565966577371
2015-09-15,0.9732717444583886
2015-09-18,0.9607297000836427
2015-09-23,0.9582350336200592
2015-09-28,0.9427507151517349
2015-10-01,0.9628763341804684
2015-10-06,0.9888408109251174
2015-10-09,1.0013189178909945
2015-10-14,0.9957853810796636
2015-10-19,1.0236343876639489
2015-10-22,1.0367640655408938
2015-10-27,1.0586599231653668
2015-10-30,1.0646581358684701
2015-11-04,1.0825215697469632
2015-11-09,1.096251617412818
2015-11-12,1.0765880149497489
2015-11-17,1.075192600809708
2015-11-20,1.1061471900404485
2015-11-25,1.099456298143003
2015-12-01,1.1126296482298677
2015-12-04,1.1178613327913403
2015-12-09,1.0914342301024877
2015-12-14,1.0770692005431763
2015-12-17,1.0924840751823433
2015-12-22,1.0853100363041517
2015-12-28,1.0946140052530904
2015-12-31,1.0888030419330155
2016-01-06,1.0489640153609963
2016-01-11,1.0087839119273576
2016-01-14,1.0006180470464914
2016-01-20,0.947175390688447
2016-01-25,0.9585961187854257
2016-01-28,0.9572059827982161
2016-02-02,0.9469609569874423
2016-02-05,0.9246574046703467
2016-02-10,0.9022571299061879
2016-02-16,0.927729842550563
2016-02-19,0.9449910409270538
2016-02-24,0.946927250678614
2016-02-29,0.9492697953105871
2016-03-03,0.9914681430998767
2016-03-08,0.9793091184849926
2016-03-11,1.0022638451958972
2016-03-16,1.0110372376654855
2016-03-21,1.0270206637692685
2016-03-24,1.0195195167303728
2016-03-30,1.0309649157185865
2016-04-04,1.0300740491956613
2016-04-07,1.0121020393075386
2016-04-12,1.02684489892143
2016-04-15,1.0492853151958588
2016-04-20,1.0609927234502086
2016-04-25,1.0473688438121926
2016-04-28,1.0306816915409223
2016-05-03,1.0297779286513689
2016-05-06,1.0233943765860387
2016-05-11,1.0334608477140892
2016-05-16,1.050120118594062
2016-05-19,1.0495103372782046
2016-05-24,1.0750595425299994
2016-05-27,1.0903747844544855
2016-06-02,1.0958602566736957
2016-06-07,1.0934844666088541
2016-06-10,1.079173766336282
2016-06-15,1.0637834625640703
2016-06-20,1.0716061907100114
2016-06-23,1.0900869075804644
2016-06-28,1.034465872265534
2016-07-01,1.063131849507861
2016-07-07,1.06475369703456
2016-07-12,1.1025747163734856
2016-07-15,1.105366638181917
2016-07-20,1.1212980276566467
2016-07-25,1.1157133156396832
2016-07-28,1.1270970499652508
2016-08-02,1.1207225874076605
2016-08-05,1.1511716952326183
2016-08-10,1.1472827016338711
2016-08-15,1.1623568824699122
2016-08-18,1.1609055438498006
2016-08-23,1.16446008915452
2016-08-26,1.161726818322297
2016-08-31,1.1647931355644694
2016-09-06,1.175101968014346
2016-09-09,1.1451852056078455
2016-09-14,1.1515336390591393
2016-09-19,1.1677369841574172
2016-09-22,1.1895486476337034
2016-09-27,1.184791528881284
2016-09-30,1.1948423823413976
2016-10-05,1.2041537024710605
2016-10-10,1.2098569531922236
2016-10-13,1.1914273669730748
2016-10-18,1.2000442305010575
2016-10-21,1.199735673559207
2016-10-26,1.2203484174150665
2016-10-31,1.207132784179661
2016-11-03,1.1829583301844426
2016-11-08,1.2091557552316405
2016-11-11,1.2597298299694826
2016-11-16,1.2756252384886102
2016-11-21,1.29300840084132
2016-11-25,1.30177765277092
2016-11-30,1.2931473233326845
2016-12-05,1.300190047289225
2016-12-08,1.331990245629505
2016-12-13,1.3402571480604049
2016-12-16,1.3443222022936498
2016-12-21,1.3663721439851861
2016-12-27,1.366744733076161
2016-12-30,1.3368497518571145
2017-01-05,1.3481934259018726
2017-01-10,1.357025762638878
2017-01-13,1.3611445202680486
2017-01-19,1.3496071479411762
2017-01-24,1.3664985353662142
2017-01-27,1.395583055241742
2017-02-01,1.3873063848211225
2017-02-06,1.4005551811739416
2017-02-09,1.4056208373442038
2017-02-14,1.4221028958266384
2017-02-17,1.4335485708080018
2017-02-23,1.4357248639104339
2017-02-28,1.4309924953013775
2017-03-03,1.438105133254836
2017-03-08,1.4342795445414416
2017-03-13,1.4387670695818813
2017-03-16,1.444535324991291
2017-03-21,1.41705339842672
2017-03-24,1.424406228319492
2017-03-29,1.4455368308408711
2017-04-03,1.4493210555845333
2017-04-06,1.4385024475482326
2017-04-11,1.4275022714860146
2017-04-17,1.426659638615521
2017-04-20,1.4347085221361944
2017-04-25,1.463237682205393
2017-04-28,1.4587470012808157
2017-05-03,1.47295922351389
2017-05-08,1.480309547537264
2017-05-11,1.505852192181971
2017-05-16,1.5284262816102852
2017-05-19,1.5044976634881986
2017-05-24,1.5258052611667168
2017-05-30,1.5349179720589474
2017-06-02,1.5415045457786458
2017-06-07,1.5519136475008668
2017-06-12,1.542647839657386
2017-06-15,1.5434882922606732
2017-06-20,1.5561569325784474
2017-06-23,1.5690069287033244
2017-06-28,1.5699286479137091
2017-07-03,1.5564438346992906
2017-07-07,1.5789640162347776
2017-07-12,1.6056476322796187
2017-07-17,1.615129556750358
2017-07-20,1.6250436286011207
2017-07-25,1.6364715246868242
2017-07-28,1.6395133588405006
2017-08-02,1.6546244851589993
2017-08-07,1.6603815369661827
2017-08-10,1.6289662294104037
2017-08-15,1.6603506674522832
2017-08-18,1.6309965932419919
2017-08-23,1.646989831570793
2017-08-28,1.6476640978626131
2017-08-31,1.6672780670135225
2017-09-06,1.6490545872960425
2017-09-11,1.6642175334614393
2017-09-14,1.6771200020721542
2017-09-19,1.7136616175782764
2017-09-22,1.7010920372452096
2017-09-27,1.70717740092104
2017-10-02,1.731957834901566
2017-10-05,1.7551577846234738
2017-10-10,1.7697150496589136
2017-10-13,1.7702005916767476
2017-10-18,1.7811329106197684
2017-10-23,1.7875792468086804
2017-10-26,1.7932820376578869
2017-10-31,1.8613275272756622
